Locus	Obs. Het. BP	Obs FST	FST P-value	1-FST quantile	(if P-value=2 -> uncomputed value because Obs.Het.BP is out of simulated bounds)
1	1	1	2
2	0.359963	0.00341784	0.0162555	0.98374447
3	0.45155316	0.0065946329	0.022325188	0.97767481
4	0.12868238	0.04153185	0.27520376	0.72479624
5	0.15736681	0.0055706029	0.044698421	0.95530158
6	0.18333088	0.059753035	0.36639789	0.63360211
7	0.096858558	0.059369506	0.46410059	0.53589941
8	0.1488968	0.10036744	0.34321468	0.34321468
9	0.34628014	0.19358465	0.12199963	0.12199963
10	0.19572045	0.12307623	0.27060222	0.27060222
11	0.14883264	0.37572225	0.011236737	0.011236737
12	0.22168435	0.0044203528	0.02801167	0.97198833
13	0.27639807	0.0076719468	0.033976669	0.96602333
14	0.46131361	0.15964821	0.14734104	0.14734104
15	0.30512378	0.072569886	0.36699519	0.63300481
16	0.12949234	0.090419921	0.37778841	0.37778841
17	0.21587931	0.14091499	0.22452031	0.22452031
18	0.23464814	0.061537009	0.31784849	0.68215151
19	0.18413086	0.27914194	0.031600132	0.031600132
20	0.39281971	0.2530513	0.037955019	0.037955019
21	0.095595099	0.0010538972	0.042954698	0.9570453
22	0.32259055	0.057856727	0.24892083	0.75107917
23	0.12259288	0.043575156	0.30035254	0.69964746
24	0.30134468	0.02377067	0.069022825	0.93097717
25	0.24138748	0.13635969	0.23798608	0.23798608
26	0.1888482	0.094767458	0.4027758	0.4027758
27	0.52980877	0.37119111	2.3318948e-005	2.3318948e-005
28	0.26099424	0.11198269	0.32917703	0.32917703
29	0.40838766	0.00073614617	0.017394441	0.98260556
30	0.37148751	0.072262539	0.37535552	0.62464448
31	0.1837288	0.045026178	0.25706343	0.74293657
32	0.50340241	0.010543181	0.02548592	0.97451408
33	0.134284	0.25565158	0.043403923	0.043403923
34	0.24191249	0.15379858	0.19237865	0.19237865
35	0.083295312	0.04176358	0.35025905	0.64974095
36	0.35959618	0.029610947	0.083747514	0.91625249
37	0.23852839	0.033969207	0.13249176	0.86750824
38	0.11501627	0.31860642	0.0088988265	0.0088988265
39	0.49799044	0.13078366	0.28577752	0.28577752
40	0.19337911	-2.4727424e-006	0.02654668	0.97345332
41	0.37839005	-0.010960297	0.0046671012	0.9953329
42	0.22684613	0.18288453	0.12716754	0.12716754
43	0.34794825	0.050283149	0.19809939	0.80190061
44	0.42973258	0.078825729	0.42413572	0.57586428
45	0.21447558	0.16732021	0.15899607	0.15899607
46	0.15426184	0.057974914	0.38495562	0.61504438
47	0.50598762	0.0022763121	0.013101385	0.98689862
48	0.15460636	0.071999811	0.4883257	0.5116743
49	0.28119758	-0.0034558519	0.013856341	0.98614366
50	0.11537263	0.026864743	0.17956373	0.82043627
51	0.10413692	0.11530171	0.2228995	0.2228995
52	0.43052183	0.027724878	0.089165692	0.91083431
53	0.19419713	0.016129622	0.078662724	0.92133728
54	0.11691221	0.08523803	0.38939156	0.38939156
55	0.10936942	0.074194535	0.44768035	0.44768035
56	0.4900187	0.015718832	0.039437505	0.9605625
57	0.44687056	0.11958036	0.31055927	0.31055927
58	0.48103541	0.038567122	0.12935002	0.87064998
59	0.43271715	0.10035008	0.42513796	0.42513796
60	0.12905534	0.047013483	0.31966778	0.68033222
61	0.20395577	0.0088754223	0.046220897	0.9537791
62	0.17145929	0.039903407	0.22754961	0.77245039
63	0.50905935	0.22014467	0.053278504	0.053278504
64	0.11580359	0.019139949	0.12737563	0.87262437
65	0.11780961	0.17307647	0.11416042	0.11416042
66	0.46355333	0.054806539	0.23373551	0.76626449
67	0.099945945	0.23117786	0.032146287	0.032146287
68	0.14114188	0.086973123	0.40689757	0.40689757
69	0.17982735	0.11746402	0.2783701	0.2783701
70	0.34466812	0.072524405	0.36089654	0.63910346
71	0.3035382	-0.00014331155	0.014607118	0.98539288
72	0.31580425	0.022405132	0.059862279	0.94013772
73	0.21958713	0.11153254	0.33786189	0.33786189
74	0.3959284	0.02047352	0.061598968	0.93840103
75	0.12651411	-0.0058683013	0.018293512	0.98170649
76	0.20807955	0.088408149	0.46730241	0.46730241
77	0.32677906	0.039497175	0.13301802	0.86698198
78	0.18692248	0.010422712	0.058667007	0.94133299
79	0.19294105	0.04223319	0.22931885	0.77068115
80	0.16459348	0.027991586	0.15005358	0.84994642
81	0.403913	0.025378857	0.084484533	0.91551547
82	0.40929688	0.15246481	0.17709407	0.17709407
83	0.076488881	0.013589595	0.12495362	0.87504638
84	0.28959197	0.075156334	0.39929404	0.60070596
85	0.32048594	0.051131637	0.20393788	0.79606212
86	0.17185859	0.044485318	0.26207738	0.73792262
87	0.12856391	0.046054675	0.31254951	0.68745049
88	0.14909399	0.34004775	0.014593264	0.014593264
89	0.15445061	0.066223949	0.44751088	0.55248912
90	0.44656669	0.019575549	0.052086955	0.94791305
91	0.27548826	0.17707364	0.12811402	0.12811402
92	0.056831786	0.10041438	0.15102475	0.15102475
93	0.25910004	0.018333046	0.065218289	0.93478171
94	0.18230739	0.037383496	0.2035337	0.7964663
95	0.23313216	0.075617005	0.42975016	0.57024984
96	0.10180786	0.045055791	0.33890115	0.66109885
97	0.22317134	0.041062527	0.18474795	0.81525205
98	0.15497759	0.095263734	0.37207306	0.37207306
99	0.22907444	0.057813619	0.29348415	0.70651585
100	0.27465335	0.082371046	0.46636159	0.53363841
101	0.29972207	0.16165092	0.16138621	0.16138621
102	0.21282678	0.10407296	0.37782276	0.37782276
103	0.48106934	0.020468805	0.053692578	0.94630742
104	0.33935577	0.070602237	0.34481799	0.65518201
105	0.17812318	0.079848074	0.48140451	0.48140451
106	0.26690396	0.29559707	0.023856695	0.023856695
107	0.1047485	0.16586928	0.1120348	0.1120348
108	0.090826973	0.079091538	0.37805258	0.37805258
109	0.261075	0.083198592	0.48616135	0.51383865
110	0.14109917	0.036515229	0.22145793	0.77854207
111	0.46478693	0.026969206	0.077428815	0.92257118
112	0.28068744	0.19754321	0.089387418	0.089387418
113	0.12276106	0.044927904	0.31122879	0.68877121
114	0.25816149	0.13626799	0.23787758	0.23787758
115	0.25679587	0.1316236	0.25084776	0.25084776
116	0.12711947	0.02327828	0.1445759	0.8554241
117	0.11543566	0.089276654	0.36371223	0.36371223
118	0.28076608	0.18778225	0.10362769	0.10362769
119	0.44142865	0.084822864	0.46803919	0.53196081
120	0.17017733	0.035525037	0.19657933	0.80342067
121	0.090285075	0.042863032	0.34294195	0.65705805
122	0.47068269	0.12009427	0.31687243	0.31687243
123	0.21841641	0.098037521	0.41430846	0.41430846
124	0.10330396	0.070745742	0.46206019	0.46206019
125	0.3665422	0.079828177	0.43034429	0.56965571
126	0.37727	0.09301677	0.46877723	0.46877723
127	0.43955779	0.1525829	0.16517624	0.16517624
128	0.33337314	0.11377561	0.35288733	0.35288733
129	0.41815697	0.046000282	0.20011852	0.79988148
130	0.32008482	0.27288492	0.029427224	0.029427224
131	0.24458439	0.064835376	0.34264104	0.65735896
132	0.3680782	0.063079041	0.3026251	0.6973749
133	0.16186466	0.17384449	0.12070928	0.12070928
134	0.16413017	0.21595901	0.073793172	0.073793172
135	0.36480105	0.17223503	0.16473713	0.16473713
136	0.096385223	0.099881683	0.27100146	0.27100146
137	0.42287578	0.19701786	0.0723727	0.0723727
138	0.51780005	0.23172091	0.03979125	0.03979125
139	0.19395707	0.022730359	0.10974968	0.89025032
140	0.44631932	0.032957861	0.1045757	0.8954243
141	0.12744649	0.27479198	0.032158122	0.032158122
